
MODEL: _unknown

MODEL: account.account
write_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
write_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
account_prefix | type=char | required=False | readonly=False | store=True | compute=None | related=None | relation=None
product_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=product.product
product_categ_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=product.category
prefix_placeholder | type=char | required=False | readonly=True | store=False | compute=_compute_prefix_placeholder | related=None | relation=None

MODEL: account.analytic.line
timer_start | type=datetime | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.timer_start'> | related=user_timer_id.timer_start | relation=None
timer_pause | type=datetime | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.timer_pause'> | related=user_timer_id.timer_pause | relation=None
is_timer_running | type=boolean | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.is_timer_running'> | related=user_timer_id.is_timer_running | relation=None
user_timer_id | type=one2many | required=False | readonly=True | store=False | compute=_compute_user_timer_id | related=None | relation=timer.timer
display_timer_start_primary | type=boolean | required=False | readonly=True | store=False | compute=_compute_display_timer_buttons | related=None | relation=None
display_timer_stop | type=boolean | required=False | readonly=True | store=False | compute=_compute_display_timer_buttons | related=None | relation=None
display_timer_pause | type=boolean | required=False | readonly=True | store=False | compute=_compute_display_timer_buttons | related=None | relation=None
display_timer_resume | type=boolean | required=False | readonly=True | store=False | compute=_compute_display_timer_buttons | related=None | relation=None
account_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.account
auto_account_id | type=many2one | required=False | readonly=False | store=False | compute=_compute_auto_account | related=None | relation=account.analytic.account
name | type=char | required=True | readonly=False | store=True | compute=None | related=None | relation=None
date | type=date | required=True | readonly=False | store=True | compute=None | related=None | relation=None
amount | type=monetary | required=True | readonly=False | store=True | compute=None | related=None | relation=None
unit_amount | type=float | required=False | readonly=False | store=True | compute=None | related=None | relation=None
product_uom_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=uom.uom
product_uom_category_id | type=many2one | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.product_uom_category_id'> | related=product_uom_id.category_id | relation=uom.category
partner_id | type=many2one | required=False | readonly=False | store=True | compute=_compute_partner_id | related=None | relation=res.partner
user_id | type=many2one | required=False | readonly=False | store=True | compute=_compute_user_id | related=None | relation=res.users
company_id | type=many2one | required=True | readonly=True | store=True | compute=None | related=None | relation=res.company
currency_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.analytic.line.currency_id'> | related=company_id.currency_id | relation=res.currency
category | type=selection | required=False | readonly=False | store=True | compute=None | related=None | relation=None
analytic_distribution | type=json | required=False | readonly=False | store=False | compute=_compute_analytic_distribution | related=None | relation=None
analytic_precision | type=integer | required=False | readonly=False | store=False | compute=None | related=None | relation=None
id | type=integer | required=False | readonly=True | store=True | compute=None | related=None | relation=None
display_name | type=char | required=False | readonly=True | store=False | compute=_compute_display_name | related=None | relation=None
create_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
create_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
write_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
write_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
product_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=product.product
general_account_id | type=many2one | required=False | readonly=False | store=True | compute=_compute_general_account_id | related=None | relation=account.account
journal_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.analytic.line.journal_id'> | related=move_line_id.journal_id | relation=account.journal
move_line_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.move.line
code | type=char | required=False | readonly=False | store=True | compute=None | related=None | relation=None
ref | type=char | required=False | readonly=False | store=True | compute=None | related=None | relation=None
task_id | type=many2one | required=False | readonly=False | store=True | compute=_compute_task_id | related=None | relation=project.task
parent_task_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.analytic.line.parent_task_id'> | related=task_id.parent_id | relation=project.task
project_id | type=many2one | required=False | readonly=False | store=True | compute=_compute_project_id | related=None | relation=project.project
employee_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=hr.employee
job_title | type=char | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.job_title'> | related=employee_id.job_title | relation=None
department_id | type=many2one | required=False | readonly=True | store=True | compute=_compute_department_id | related=None | relation=hr.department
manager_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.analytic.line.manager_id'> | related=employee_id.parent_id | relation=hr.employee
encoding_uom_id | type=many2one | required=False | readonly=True | store=False | compute=_compute_encoding_uom_id | related=None | relation=uom.uom
readonly_timesheet | type=boolean | required=False | readonly=True | store=False | compute=_compute_readonly_timesheet | related=None | relation=None
